sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,deferred_stock_update,use_config_deferred_stock_update,related_skus,crosssell_skus,upsell_skus,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,associated_skus
A2668,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 715 Charger (Nano II 65W),"Anker USB C Charger, 715 Charger (Nano II 65W), GaN II PPS Fast Compact Foldable Charger for MacBook Pro/Air, Galaxy S20/S10, Dell XPS 13, Note 20/10+, iPhone 13/Pro/Mini, iPad Pro, Pixel, and More
The Only Charger You Need: Say goodbye to your old power bricks. Anker 715 Charger (Nano II 65W) has the power you need to fast charge your phone, tablet, and USB-C notebook from a single tiny charger.
High-Speed Charging: Charge a 2020 MacBook Air in less than 2 hours, a MacBook Pro 13ʺ at full speed, an iPhone 13 up to 3× faster than with an original 5W charger, and charge the latest Samsung phones at full speed with Samsung Super Fast Charging.
Downsized Design: At 58% smaller than an original 61W USB-C charger, and with a foldable plug, Anker Nano II takes up less space while giving you just as much power.
Powered by GaN II Technology: With a 100% increase in operating frequency, an innovative stacked design, and an upgraded circuit board structure, GaN II technology makes our latest charger smaller without sacrificing a drop of power.
What You Get: Anker 715 Charger (Nano II 65W) / Anker Nano II 65W, welcome guide, our worry-free 18-month warranty, and friendly customer service (cable not included).",,,1,,"Catalog, Search",49.99,,,,Anker 715 Charger,Anker 715 Charger,Anker 715,"Anker USB C Charger, 715 Charger (Nano II 65W), GaN II PPS Fast Compact Foldable Charger for MacBook Pro/Air, Galaxy S20/S10, Dell XPS 13, Note 20/10+, iPhone 13/Pro/Mini, iPad Pro, Pixel, and More
The Only Charger You Need: Say goodbye to your old p",07/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1200,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
ANK-736,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 736 Charger (Nano II 100W),"CES 2022 Award Winner: An honoree at the CES Innovation Awards in the mobile devices and accessories category.
Ultra-Fast Charging: Connect to either USB-C port to give your laptop a massive 100W charge.
Charge 3 Devices at Once: Power up your MacBook, iPhone, and AirPods all at the same time from a charger that's 34% smaller than an original 96W MacBook power brick.
Powered by GaN II Technology: With a 100% increase in operating frequency, an innovative stacked design, and an upgraded circuit board structure, GaN II technology makes our latest charger smaller without sacrificing a drop of power.
What You Get: Anker 736 Charger (Nano II 100W), welcome guide, our worry-free 18-month warranty, and friendly customer service.",,,1,,"Catalog, Search",79.99,,,,Anker 736 Charger,Anker 736 Charger,Anker 736,"CES 2022 Award Winner: An honoree at the CES Innovation Awards in the mobile devices and accessories category.
Ultra-Fast Charging: Connect to either USB-C port to give your laptop a massive 100W charge.
Charge 3 Devices at Once: Power up your MacBoo",08/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
ANK-737,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 726 Charger (Nano II 65W),"Anker USB C Charger, 726 Charger (Nano II 65W) PPS Fast Charger Adapter, Foldable Compact Charger for MacBook Pro/Air, iPad Pro, Galaxy S20/S10, Dell XPS 13, Note 20/10+, iPhone 13, Pixel, and More
The Only Charger You Need: Say goodbye to your old power bricks. Anker 726 Charger ( Nano II 65W ) has the power you need to fast charge your phone, tablet, and USB-C notebook from a single charger.
High-Speed Charging: Connect a single device to get a 65W max charge—that’s enough to power up a 2020 MacBook Pro 13″ at full speed. And when you connect two devices, power will be distributed efficiently between both ports to ensure you get the best charge.
Downsized Design: At 49% smaller than an original 61W USB-C charger, and with a foldable plug, PowerPort III 2-Port 65W takes up less space while giving you even more power.
Powered by GaN II Technology: With a 100% increase in operating frequency, an innovative stacked design, and an upgraded circuit board structure, GaN II technology makes our latest charger smaller without sacrificing a drop of power.
What You Get: Anker 726 Charger ( Nano II 65W ) / PowerPort III 2-Port 65W, welcome guide, our worry-free 18-month warranty, and friendly customer service (cable not included).",,,1,,"Catalog, Search",49.99,,,,Anker 726 Charger,Anker 726 Charger,Anker 726,"Anker USB C Charger, 726 Charger (Nano II 65W) PPS Fast Charger Adapter, Foldable Compact Charger for MacBook Pro/Air, iPad Pro, Galaxy S20/S10, Dell XPS 13, Note 20/10+, iPhone 13, Pixel, and More
The Only Charger You Need: Say goodbye to your old p",09/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
ANKPA2121355,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 711 Charger (Nano II 30W),"Anker USB C Charger 30W, 711 Charger, Compact Fast Charger (Not Foldable) for MacBook Air/iPhone 13/13 Mini/ 13 Pro/ 13 Pro Max/ 12, Galaxy S21, Note 20, iPad Pro, Pixel, and More
Ultra Compact: At 70% smaller than an original 30W USB-C charger, Anker 711 takes up less space while giving you just as much power. (Note: the charging prongs are not foldable.)
The Only Charger You Need: Say goodbye to your old power bricks. Anker 711 has the power you need to charge your MacBook Air, tablet, and phone from a single tiny charger.
High-Speed Charging: Charge a 2020 MacBook Air at full speed, charge the iPhone 13 series up to 3× faster than with an original 5W charger, and charge the latest Samsung phones at full speed with Samsung Super Fast Charging.
Powered by GaN II Technology: With a 56% increase in operating frequency, an innovative stacked design, and an upgraded circuit board structure, GaN II technology makes our latest charger smaller without sacrificing a drop of power.
What You Get: Anker 711 Charger (Nano II 30W), welcome guide, our worry-free 18-month warranty, and friendly customer service (cable not included).",,,1,,"Catalog, Search",33.99,,,,Anker 711 Charger,Anker 711 Charger,Anker 711,"Anker USB C Charger 30W, 711 Charger, Compact Fast Charger (Not Foldable) for MacBook Air/iPhone 13/13 Mini/ 13 Pro/ 13 Pro Max/ 12, Galaxy S21, Note 20, iPad Pro, Pixel, and More
Ultra Compact: At 70% smaller than an original 30W USB-C charger, Anke",10/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,700,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
ANKPA2121356,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Chargers & Power Adapters,Default Category/Chargers/Chargers & Power Adapters/Wired",base,Anker 713 Charger (Nano II 45W),"Anker USB C Charger, 713 Charger (Nano II 45W), GaN II PPS Fast Compact Foldable Charger for Galaxy S22/S21/S21+/S20, Galaxy Tab S8, Note 20/10, MacBook Pro 13″, iPhone 13/Pro/Mini/Pro Max, iPad Pro, Pixel, and More
The Only Charger You Need: Say goodbye to your old power bricks. Anker 713 Charger (Nano II 45W) has the power you need to charge your Samsung Galaxy devices from a single tiny charger.
High-Speed Charging: Charge the latest Samsung Galaxy devices at full speed with Samsung Super Fast Charging, charge a 2020 MacBook Air at full speed, or charge an iPhone 13 up to 3× faster than with an original 5W charger.
Downsized Design: At 34% smaller than an original 45W USB-C charger, Anker Nano II takes up less space while giving you just as much power.
Powered by GaN II Technology: With a 20% increase in operating frequency, an innovative stacked design, and an upgraded circuit board structure, GaN II technology makes our latest charger smaller without sacrificing a drop of power.
What You Get: Anker 713 Charger (Nano II 45W) / Anker Nano II 45W, welcome guide, our worry-free 18-month warranty, and friendly customer service (cable not included).",,,1,,"Catalog, Search",39.99,,,,Anker 713 Charger,Anker 713 Charger,Anker 713,"Anker USB C Charger, 713 Charger (Nano II 45W), GaN II PPS Fast Compact Foldable Charger for Galaxy S22/S21/S21+/S20, Galaxy Tab S8, Note 20/10, MacBook Pro 13″, iPhone 13/Pro/Mini/Pro Max, iPad Pro, Pixel, and More
The Only Charger You Need: Say goo",11/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,800,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1289011,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Anker 737 Power Bank (PowerCore 24K),"Ultra-Powerful Two-Way Charging: Equipped with the latest Power Delivery 3.1 and bi-directional technology to quickly recharge the portable charger or get a 140W ultra-powerful charge.
High Capacity and Long-Lasting: Featuring a 24,000mAh battery capacity and 2× longer-lasting battery life, juice up an iPhone 13 almost 5 times or a 2021 iPad Pro 12.9"" 1.3 times.
Smart Digital Display: Easy-to-read digital display shows the output and input power and estimated time for the portable charger to fully recharge.
What You Get: Anker 737 Power Bank (PowerCore 24K), welcome guide, 140W USB-C to USB-C cable, 24-month stress-free warranty, and friendly customer service.",,,1,,"Catalog, Search",149.99,,,,Anker 737 Power Bank,Anker 737 Power Bank,Anker 737,"Ultra-Powerful Two-Way Charging: Equipped with the latest Power Delivery 3.1 and bi-directional technology to quickly recharge the portable charger or get a 140W ultra-powerful charge.
High Capacity and Long-Lasting: Featuring a 24,000mAh battery cap",12/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,800,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1651211,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Anker 733 Power Bank (GaNPrime PowerCore 65W),"2-in-1 Charger: Enjoy the best of both worlds with a hybrid 65W wall charger and 10,000mAh portable charger in one.
Power for 3: With 2 USB-C ports and 1 USB-A port, you can easily charge up to 3 devices at once.
Powered by GaNPrime™: The portable charger is equipped with Anker's most advanced GaN-powered charging system, an innovative stacked design, PowerIQ™ 3.0 for higher efficiency, and ActiveShield™ 2.0 for intelligent temperature monitoring.
Wide Compatibility: Works flawlessly with a wide range of devices including phones, tablets, laptops, and more.
What You Get: Anker 733 Power Bank (GaNPrime PowerCore 65W), welcome guide, 24-month stress-free warranty, and friendly customer service.",,,1,,"Catalog, Search",99.99,,,,Anker 733 Power Bank,Anker 733 Power Bank,Anker 733,"2-in-1 Charger: Enjoy the best of both worlds with a hybrid 65W wall charger and 10,000mAh portable charger in one.
Power for 3: With 2 USB-C ports and 1 USB-A port, you can easily charge up to 3 devices at once.
Powered by GaNPrime™: The portable ch",13/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,800,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1289011,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Anker 737 Power Bank (PowerCore 26K for Laptop),"Anker Portable Charger, 25600 mAh Power IQ 3.0 Power Bank Combo with 65W PD Wall Charger, 737 Power Bank (PowerCore 26K for Laptop) for MacBook Pro / Dell XPS, Microsoft Surface, iPad Pro, iPhone 13, and More.
Power Your Laptop Anywhere: The massive 25,600 mAh capacity combined with an ultra-powerful USB-C port enables you to charge your laptop on the go at full speed.
Blazing-Fast Charging Speeds: Equipped with the most advanced charging technology, Power IQ 3.0, Anker 737 Power Bank charges virtually any compatible device at the fastest possible speed.
Power for 3: All you need is one charger to conveniently charge your laptop and two other devices simultaneously via the dedicated 60W USB-C port and 18W USB-A ports.
Cool Under Pressure: Anker's MultiProtect safety system, high-quality LG batteries, and effective heat dissipation materials ensure complete protection for you and your devices.
What You Get: Anker 737 Power Bank (PowerCore 26K for Laptop), Anker 515 Wall Charger (65W), USB-C to USB-C cable, welcome guide, worry-free 18-month warranty, and friendly customer service.",,,1,,"Catalog, Search",159.99,,,,Anker 737 Power Bank,Anker 737 Power Bank,Anker 737,"Anker Portable Charger, 25600 mAh Power IQ 3.0 Power Bank Combo with 65W PD Wall Charger, 737 Power Bank (PowerCore 26K for Laptop) for MacBook Pro / Dell XPS, Microsoft Surface, iPad Pro, iPhone 13, and More.
Power Your Laptop Anywhere: The massive ",14/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,900,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1289012,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Anker 747 Power Bank (PowerCore 26K for Laptop),"Anker 747 Power Bank (PowerCore 26K for Laptop) with 65W USB-C Charger, Works for MacBook Pro, Dell XPS, Microsoft, Pixelbook, iPhone 13 / 13 Pro / 13 Pro Max / 13 mini, Samsung, iPad Pro, and More
Ultra-High Capacity: With a massive 25,600mAh capacity, you can keep multiple devices charged for days. Charge an iPhone 13 Pro 5 times, a Galaxy S20 more than 4 times, or a MacBook Air 2020 once.
Blazing Fast Speeds: Connect to either USB-C port to get a powerful charge of 87W. Power a wide range of laptops, including MacBook Pro 13.4"" in 2h 14min and Dell XPS 13 9380 in 2h 54min.
Recharge 6x Faster: By using a 65W wall charger, PowerCore's internal battery fully recharges in just 2.5 hours, while a standard 5W charger will take more than 17 hours to top up.
Power 4 Devices At Once: Dual USB-C ports offer simultaneous high-speed charging to 2 devices, and dual USB-A ports let you charge 2 extra devices with a combined output of 78W.
What You Get: Anker 747 Power Bank (PowerCore 26K for Laptop), Anker 515 Wall Charger (65W), USB-C to USB-C cable, travel pouch, welcome guide, our 18-month worry-free warranty, and friendly customer service.",,,1,,"Catalog, Search",199.99,,,,Anker 747 Power Bank ,Anker 747 Power Bank ,Anker 747,"Anker 747 Power Bank (PowerCore 26K for Laptop) with 65W USB-C Charger, Works for MacBook Pro, Dell XPS, Microsoft, Pixelbook, iPhone 13 / 13 Pro / 13 Pro Max / 13 mini, Samsung, iPad Pro, and More
Ultra-High Capacity: With a massive 25,600mAh capaci",15/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1611,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wireless",base,Anker 622 Magnetic Battery (MagGo),"Prop It Up: Features a versatile built-in foldable kickstand that keeps your iPhone 13/12 upright for a comfortable viewing angle.
Strong and Snappy: The super-strong magnet snaps magnetically into place to ensure perfect alignment and an efficient charge.
Slim and Compact: The sleek and slim design is only 0.5 inch (12.8 mm) thin, so you can single-handedly take calls, selfies, and more.
From Small to Smaller: Anker's new Mini Cell technology reduces the size of the overall battery without compromising power and charging efficiency.
What You Get: Anker 622 Magnetic Battery (MagGo), 23.6 inch (60 cm) USB-C to USB-C cable, welcome guide, worry-free 24-month warranty, and friendly customer service.
Note: Not compatible with non-magnetic phone cases, such as OtterBox defender cases. Not recommended to use with iPhone 13/12 mini.",,,1,,"Catalog, Search",59.99,,,,Anker 622 Magnetic Battery (MagGo),Anker 622 Magnetic Battery (MagGo),Anker 622 Magnetic Battery ,"Prop It Up: Features a versatile built-in foldable kickstand that keeps your iPhone 13/12 upright for a comfortable viewing angle.
Strong and Snappy: The super-strong magnet snaps magnetically into place to ensure perfect alignment and an efficient c",16/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,700,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1641,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wireless",base,Anker 633 Magnetic Battery,"2-in-1: The charger wirelessly charges your phone while the practical foldable stand props up your phone for easy viewing.
Compact and Powerful: The 10,000mAh small-sized battery contains enough power to charge an iPhone 13 Pro 1.8 times*.
Snap On, Power Up: Get a safe and secure wireless charge with the perfectly aligned strong magnets that snap onto your phone for a constant charge.
High-Speed Charging: Use the 20W USB-C Power Delivery port and a USB-C charging cable to charge your iPhone 3x faster.
What You Get: Anker 633 Magnetic Battery (MagGo), 2ft (0.6m) USB-C to USB-C charging cable, welcome guide, our worry-free 24-month warranty, and friendly customer service.",,,1,,"Catalog, Search",79.99,,,,Anker 633 Magnetic Battery,Anker 633 Magnetic Battery,Anker 633 Magnetic Battery,"2-in-1: The charger wirelessly charges your phone while the practical foldable stand props up your phone for easy viewing.
Compact and Powerful: The 10,000mAh small-sized battery contains enough power to charge an iPhone 13 Pro 1.8 times*.
Snap On, P",17/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,700,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1610H11,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wireless",base,Anker 621 Magnetic Battery (MagGo),"Smaller Than Ever: Anker's new MiniCell technology delivers identical charging performance with fewer components. This means it's smaller and lighter than ever before.
Pocket-Sized Power: Slim enough to snap to your phone and slip into your pack, purse, or pocket.
Strong Attachment: Equipped with ultra-strong magnets that firmly attach to the back of the iPhone 13 or 12 so you can single-handedly take selfies, make calls, and more.
Charge in a Snap: Align your iPhone and battery with a snap. Say goodbye to disconnection issues caused by wireless charging misalignment.
What You Get: Anker 621 Magnetic Battery (MagGo), 23.6 in (60 cm) USB-C to USB-C cable, welcome guide, worry-free 24-month warranty, and friendly customer service.",,,1,,"Catalog, Search",49.99,,,,Anker 621 Magnetic Battery (MagGo),Anker 621 Magnetic Battery (MagGo),Anker 621 Magnetic Battery,"Smaller Than Ever: Anker's new MiniCell technology delivers identical charging performance with fewer components. This means it's smaller and lighter than ever before.
Pocket-Sized Power: Slim enough to snap to your phone and slip into your pack, pur",18/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,500,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A1611H11,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,"Anker 521 Power Bank (PowerCore Fusion, 45W)","2-in-1 Hybrid Charger: Get a 5,000mAh power bank and a 45W wall charger in one.
Recharge While Plugged In: When used as a power bank, conveniently recharge via the charger without cables or through the USB-C port.
Powers 3× Faster: When used as a power bank, charge an iPhone 13 up to 3× faster and when used as a wall charger, fully charge a MacBook Pro 13"" in just 1 hour and 45 minutes.
Go Anywhere: Smaller than the size of your palm, the power bank takes up less space and can easily fit in a bag or purse, making it an ideal travel companion.
What You Get: Anker 521 Power Bank (PowerCore Fusion, 45W), User Manual, our worry-free 24-month warranty, and friendly customer service.",,,1,,"Catalog, Search",69.99,,,,"Anker 521 Power Bank (PowerCore Fusion, 45W)","Anker 521 Power Bank (PowerCore Fusion, 45W)",Anker 521 Power Bank,"2-in-1 Hybrid Charger: Get a 5,000mAh power bank and a 45W wall charger in one.
Recharge While Plugged In: When used as a power bank, conveniently recharge via the charger without cables or through the USB-C port.
Powers 3× Faster: When used as a pow",19/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,700,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
521-A161245524,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wired",base,Anker 525 Power Bank (PowerCore 20K),"Anker PowerCore Essential 20000 PD Portable Charger, 20000mAh USB-C Power Bank with 20W Power Delivery, Compatible with iPhone 12 / 12 Pro / 12 Pro Max / 8 / X / XR, Samsung, iPad Pro 2018, and More
The Anker Advantage: Join the 55 million+ powered by our leading technology.
Charge Fast Anywhere: The 20W USB-C port has enough power to charge an iPhone 12 to 50% in just 30 minutes. Also equipped with an 18W USB port if you need to charge a second device.
Ultra-High Cell Capacity: The massive 20,000mAh cell capacity provides 5 charges for iPhone 12, more than 4 full charges for Samsung Galaxy S10, and over 2 and a half charges for iPad mini 5.
Wide Compatibility: Charge virtually any mobile device including phones, tablets, and more.
What You Get: Anker 525 Power Bank (PowerCore 20K) / PowerCore Essential 20000 PD, USB-A to USB-C cable, USB-C to USB-C cable, travel pouch, welcome guide, and our worry-free 18-month warranty.",,,1,,"Catalog, Search",69.99,,,,Anker 525 Power Bank (PowerCore 20K),Anker 525 Power Bank (PowerCore 20K),Anker 525 Power Bank,"Anker PowerCore Essential 20000 PD Portable Charger, 20000mAh USB-C Power Bank with 20W Power Delivery, Compatible with iPhone 12 / 12 Pro / 12 Pro Max / 8 / X / XR, Samsung, iPad Pro 2018, and More
The Anker Advantage: Join the 55 million+ powered b",20/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,700,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
521-A1619,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Portable Power Banks,Default Category/Chargers/Portable Power Banks/Wireless",base,Anker 521 Magnetic Battery (PowerCore 5K),"Anker 521 Magnetic Battery (PowerCore Magnetic 5K), 5000 mAh Magnetic Wireless Portable Charger with USB-C Cable, for iPhone 13 Series and iPhone 12 Series.
The Anker Advantage: Join the 55 million+ powered by our leading technology.
Snap and Go: Simple and convenient wireless charging; just attach PowerCore magnetically to the back of your phone for a 5W wireless charge.
Made for iPhone 12: Works flawlessly with iPhone 12, iPhone 12 mini, iPhone 12 Pro, and iPhone 12 Pro Max. Charges through compatible magnetic cases.
Superior Safety: Anker¡¯s comprehensive MultiProtect safety system includes foreign object detection, short circuit protection, temperature control, and more.
What You Get: Anker 521 Magnetic Battery (PowerCore 5K) / PowerCore Magnetic 5K, USB-C to USB-C cable, welcome guide, our 18-month warranty, and Anker¡¯s friendly customer service.",,,1,,"Catalog, Search",39.99,,,,Anker 521 Magnetic Battery (PowerCore 5K),Anker 521 Magnetic Battery (PowerCore 5K),Anker 521 Magnetic Battery,"Anker 521 Magnetic Battery (PowerCore Magnetic 5K), 5000 mAh Magnetic Wireless Portable Charger with USB-C Cable, for iPhone 13 Series and iPhone 12 Series.
The Anker Advantage: Join the 55 million+ powered by our leading technology.
Snap and Go: Sim",21/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,800,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A111762,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Cable",base,Anker 762 USB-C to Lightning Cable (3ft / 6ft Nylon),"Built to Last: PowerLine+ III has an ultra-slim design with a 35,000-bend lifespan for a cable that is slimmer, yet stronger than ever before.
Fast-Charging Compatible: Pair with an 18W USB-C charger to take advantage of Power Delivery high-speed charging. (Charger not included)
Certified Compatible: MFi certified for flawless compatibility with Lightning devices, ensuring safe charging at the highest possible speed.
High-Speed Data Transfer: Transfer movies, music, or an entire photo library in seconds with 480Mbps transfer speeds.
What You Get: Anker 762 USB-C to Lightning Cable (3ft / 6ft Nylon) / PowerLine+ III USB-C to Lightning Cable, welcome guide, worry-free lifetime warranty, and friendly customer service.",,,1,,"Catalog, Search",31.99,,,,Anker 762 USB-C to Lightning Cable (3ft / 6ft Nylon),Anker 762 USB-C to Lightning Cable (3ft / 6ft Nylon),Anker 762 USB-C to Lightning Cable,"Built to Last: PowerLine+ III has an ultra-slim design with a 35,000-bend lifespan for a cable that is slimmer, yet stronger than ever before.
Fast-Charging Compatible: Pair with an 18W USB-C charger to take advantage of Power Delivery high-speed cha",22/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1100,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A111763,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Cable",base,Anker 765 USB-C to USB-C Cable (140W Nylon),"The Anker Advantage: Join the 80 million+ powered by our leading technology.
High-Speed Ready: A maximum output of 140W and compatibility with USB Power Delivery 3.1 allows for high-speed charging to a wide range of devices including phones, tablets, and laptops.
Wide Compatibility: Designed to work with virtually any USB-C device, from laptops to earbuds.
Built to Last: This cable is more than ready to handle the stresses and strains of daily use thanks to a 35,000-bend lifespan.
What You Get: Anker 765 USB-C to USB-C Cable (140W Nylon), welcome guide, our worry-free 24-month warranty, and friendly customer service.",,,1,,"Catalog, Search",31.99,,,,Anker 765 USB-C to USB-C Cable (140W Nylon),Anker 765 USB-C to USB-C Cable (140W Nylon),Anker 765 USB-C to USB-C Cable,"The Anker Advantage: Join the 80 million+ powered by our leading technology.
High-Speed Ready: A maximum output of 140W and compatibility with USB Power Delivery 3.1 allows for high-speed charging to a wide range of devices including phones, tablets,",23/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1100,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
A111764,,Default,simple,"Default Category,Default Category/Chargers,Default Category/Chargers/Cable",base,Anker 712 USB-C to USB-C Cable (16ft Fiber Optic for Oculus),"Unlock 100+ Games: Connect your headset to your PC to get access to 100+ extra games that aren’t available when using just the headset.
Next-Level Gaming: Offers 10 Gbps transfer speeds for improved rendering and low latency to deliver a smoother, crisper gaming experience.
Wide Compatibility: Works with the majority of newer PCs. Just plug into a USB-C port to get started.
Extra Long: A 16 ft length gives you the freedom to move around your play zone unrestricted.
What You Get: Anker 712 USB-C to USB-C Cable (16 ft Fiber Optic for Oculus), welcome guide, our worry-free 18-month warranty, and friendly customer service.",,,1,,"Catalog, Search",64.99,,,,Anker 712 USB-C to USB-C Cable (16ft Fiber Optic for Oculus),Anker 712 USB-C to USB-C Cable (16ft Fiber Optic for Oculus),Anker 712 USB-C to USB-C Cable,"Unlock 100+ Games: Connect your headset to your PC to get access to 100+ extra games that aren’t available when using just the headset.
Next-Level Gaming: Offers 10 Gbps transfer speeds for improved rendering and low latency to deliver a smoother, cr",24/01/2023 3:34,,,,Block after Info Column,,,,,,,,,,,,,,1100,0,1,0,0,1,1,0,,1,1,,1,,,,,1,0,0,1,0,1,,,,,,,,,,,
